,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MEDI,726,1505,2371,3210,4263,5514,6797,8390,10126,11319
ENGI,388,737,1086,1517,2136,2805,3525,4261,5080,5689
BIOC,375,753,1157,1534,2039,2545,3079,3721,4396,4932
COMP,93,192,296,416,930,1745,2324,2946,3860,4401
CHEM,295,605,921,1206,1592,2026,2491,3117,3812,4328
MATE,314,656,955,1328,1773,2233,2751,3285,3810,4280
ENVI,155,350,612,910,1209,1567,2051,2646,3308,3792
AGRI,193,392,659,938,1257,1576,2004,2467,3025,3456
PHYS,247,503,771,1053,1476,1890,2280,2708,3082,3366
CENG,225,417,611,776,1011,1263,1560,1935,2337,2618
